what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1301251651248
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1301251651266
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1301251651279
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1301251651305
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.text.ext.richfaces",1301251651317
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.text.ext.facelets",1301251651325
stopped,bundle,org.jboss.tools.jsf.text.ext,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.text.ext",1301251651338
stopped,bundle,org.jboss.tools.jsf.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.ui",1301251651338
stopped,bundle,org.jboss.tools.jsf.verification,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.verification",1301251651338
stopped,bundle,org.jboss.tools.jsf.vpe.ajax4jsf,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.ajax4jsf",1301251651361
stopped,bundle,org.jboss.tools.jsf.vpe.jbpm,1.0.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.jbpm",1301251651451
stopped,bundle,org.jboss.tools.jsf.vpe.jstl,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.jstl",1301251651478
stopped,bundle,org.jboss.tools.jsf.vpe.richfaces,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.richfaces",1301251651504
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.seam",1301251651529
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.jsf",1301251651555
stopped,bundle,org.jboss.tools.jsf,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf",1301251651556
stopped,bundle,org.jboss.tools.jsf.vpe.facelets,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.facelets",1301251651654
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.myfaces",1301251651790
stopped,bundle,org.jboss.tools.jst.css,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.css",1301251651867
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.tiles.ui",1301251651981
stopped,bundle,org.jboss.tools.seam.ui.pages,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.seam.ui.pages",1301251651990
stopped,bundle,org.jboss.tools.seam.xml.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.seam.xml.ui",1301251651991
stopped,bundle,org.jboss.tools.jst.web.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.ui",1301251651991
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.docbook",1301251652024
stopped,bundle,org.jboss.tools.vpe.html,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.html",1301251652049
stopped,bundle,org.jboss.tools.vpe.jsp,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.jsp",1301251652163
stopped,bundle,org.jboss.tools.vpe.spring,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.spring",1301251652249
stopped,bundle,org.jboss.tools.vpe,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe",1301251652249
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.ui.palette",1301251652333
stopped,bundle,org.jboss.tools.jst.jsp,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.jsp",1301251652333
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1301251664958
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1301251664959
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1301251664960
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1301251664961
started,bundle,oracle.eclipse.tools.common,3.1.1.201010012100,"oracle.eclipse.tools.common",1301251664961
started,bundle,oracle.eclipse.tools.common.ui,3.1.1.201010012100,"oracle.eclipse.tools.common.ui",1301251664962
started,bundle,oracle.eclipse.tools.common.upgrade,3.1.1.201010012100,"oracle.eclipse.tools.common.upgrade",1301251664962
started,bundle,oracle.eclipse.tools.envcheck,3.1.1.201010012100,"oracle.eclipse.tools.envcheck",1301251664963
started,bundle,oracle.eclipse.tools.sapphire.modeling,3.1.1.201010012100,"oracle.eclipse.tools.sapphire.modeling",1301251664963
started,bundle,oracle.eclipse.tools.weblogic,3.1.0.201007221419,"oracle.eclipse.tools.weblogic",1301251664963
started,bundle,oracle.eclipse.tools.weblogic.ui,3.1.0.201007221419,"oracle.eclipse.tools.weblogic.ui",1301251664963
started,bundle,oracle.eclipse.tools.xmlbeans,3.1.0.201007221419,"oracle.eclipse.tools.xmlbeans",1301251664963
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1301251664964
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1301251664965
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1301251664965
